EntityName,EntityColumn
1.92504E+11,Magento_Quantity_USA_A 
1.92504E+11,salsify:parent_id
1.92504E+11,salsify:data_inheritance_hierarchy_level_id
1.92504E+11,Grid_Value_USA_S 
1.92504E+11,Material_Num_USA_S 
1.92504E+11,UPC_GLO_S 
1.92504E+11,Product_Region_GLO_S 
1.92504E+11,Fiber_Type_GLO_S 
1.92504E+11,Material_Desc_USA_S 
1.92504E+11,Size_Code_USA_S 
1.92504E+11,Size_Desc_GLO_S 
1.92504E+11,Country_of_Origin_GLO_S 
1.92504E+11,Tax_Code_USA_S 
1.92504E+11,Amazon_ASIN_GLO_M 
1.92504E+11,Amazon_Verified_Earliest_Ship_Date_GLO_A 
1.92504E+11,AMZ Earliest Ship Date USA M 
1.92504E+11,AMZ Item Booking Date USA M 
1.92504E+11,Magento_SKU_GLO_A 
1.92504E+11,Magento_Price_USA_A 
1.92504E+11,Magento_Price_USA_A 
1.92504E+11,Magento_Product_Name_USA_A 
1.92504E+11,Magento_Product_Name_USA_A 
1.92504E+11,Magento_Quantity_USA_A 
1.92504E+11,Magento_Quantity_USA_A 
1.92504E+11,salsify:parent_id
1.92504E+11,salsify:data_inheritance_hierarchy_level_id
1.92504E+11,Grid_Value_USA_S 
1.92504E+11,Material_Num_USA_S 
1.92504E+11,UPC_GLO_S 
1.92504E+11,Product_Region_GLO_S 
1.92504E+11,Fiber_Type_GLO_S 
1.92504E+11,Material_Desc_USA_S 
1.92504E+11,Size_Code_USA_S 
1.92504E+11,Size_Desc_GLO_S 
1.92504E+11,Country_of_Origin_GLO_S 
1.92504E+11,Tax_Code_USA_S 
1.92504E+11,Amazon_ASIN_GLO_M 
1.92504E+11,Amazon_Verified_Earliest_Ship_Date_GLO_A 
1.92504E+11,AMZ Earliest Ship Date USA M 
1.92504E+11,AMZ Item Booking Date USA M 
1.92504E+11,Magento_SKU_GLO_A 
1.92504E+11,Magento_Price_USA_A 
1.92504E+11,Magento_Price_USA_A 
1.92504E+11,Magento_Product_Name_USA_A 
1.92504E+11,Magento_Product_Name_USA_A 
1.92504E+11,Magento_Quantity_USA_A 
1.92504E+11,Magento_Quantity_USA_A 
1.92504E+11,salsify:parent_id
1.92504E+11,salsify:data_inheritance_hierarchy_level_id
1.92504E+11,Grid_Value_USA_S 
1.92504E+11,Material_Num_USA_S 
1.92504E+11,UPC_GLO_S 
1.92504E+11,Product_Region_GLO_S 
1.92504E+11,Fiber_Type_GLO_S 
1.92504E+11,Material_Desc_USA_S 
1.92504E+11,Size_Code_USA_S 
1.92504E+11,Size_Desc_GLO_S 
1.92504E+11,Country_of_Origin_GLO_S 
1.92504E+11,Tax_Code_USA_S 
1.92504E+11,Amazon_ASIN_GLO_M 
1.92504E+11,Amazon_Verified_Earliest_Ship_Date_GLO_A 
1.92504E+11,AMZ Earliest Ship Date USA M 
1.92504E+11,AMZ Item Booking Date USA M 
1.92504E+11,Magento_SKU_GLO_A 
1.92504E+11,Magento_Price_USA_A 
1.92504E+11,Magento_Price_USA_A 
1.92504E+11,Magento_Product_Name_USA_A 
1.92504E+11,Magento_Product_Name_USA_A 
1.92504E+11,Magento_Quantity_USA_A 
